trial_id,persona_id,risk_tolerance,decision_style,risk_posture,exploration_style,winner,chip_delta,pot_size,strategy_basis,reward
texas-holdem_web__23QxWWo,0982,Cautious,Deliberative,balanced,compared_multiple,opponent,-260,520,hand_strength,1.0
texas-holdem_web__26XNhMv,0112,Risk-tolerant,Deliberative,opportunistic,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__28u3aMt,0914,Risk-seeking,Intuitive,opportunistic,compared_multiple,player,20,70,hand_strength,1.0
texas-holdem_web__2BooiDD,0292,Risk-seeking,Directive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2Ec8wKL,0715,Balanced,Consensus-driven,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2JDpk9A,0861,Risk-averse,Consensus-driven,risk_averse,quick_pick,tie,0,40,hand_strength,1.0
texas-holdem_web__2MgiGhE,0424,Risk-averse,Consensus-driven,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2TCkpCw,0199,Risk-averse,Intuitive,risk_averse,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__2bRWxPu,0227,Risk-averse,Consensus-driven,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2bz2JEF,0412,Risk-averse,Directive,risk_averse,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__2dPk2ZQ,0995,Risk-seeking,Analytical,opportunistic,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__2doHvcB,0859,Risk-tolerant,Consensus-driven,balanced,quick_pick,player,70,140,hand_strength,1.0
texas-holdem_web__2eFT9mL,0282,Risk-seeking,Intuitive,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2eWSFHg,0950,Risk-seeking,Consensus-driven,risk_seeking,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__2gJ7sH2,0843,Risk-tolerant,Intuitive,balanced,compared_multiple,opponent,-10,30,hand_strength,1.0
texas-holdem_web__2hTV4hF,0685,Risk-tolerant,Consensus-driven,risk_averse,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__2j5Ezpd,0928,Risk-averse,Analytical,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__2kn7S3W,0485,Cautious,Directive,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__2mrB7dg,0582,Risk-seeking,Analytical,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2nPfXkW,0378,Risk-tolerant,Consensus-driven,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__34CtpEs,0955,Risk-averse,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
