attribute_name,attribute_label,attribute_type,value_type,allowed_values,module,schema_category,parents,required_context,source_of_distribution,constraint_type,is_core,description
age_bracket,Age bracket,ordinal,ordered_bucket,"[""13–17"", ""18–24"", ""25–34"", ""35–44"", ""45–54"", ""55–64"", ""65+""]",demographics,Demographic: Core,"[""country"", ""region""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,Life-age band of the persona.
region,Region,categorical,categorical,"[""North America"", ""Latin America"", ""Western Europe"", ""Eastern Europe"", ""Sub-Saharan Africa"", ""MENA"", ""South Asia"", ""East Asia"", ""Southeast Asia"", ""Oceania""]",geography,Demographic: Core,"[""country""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,World region the persona is based in.
gender_identity,Gender identity,categorical,categorical,"[""Woman"", ""Man"", ""Non-binary"", ""Self-described"", ""Prefer not to say""]",demographics,Demographic: Core,"[""country"", ""age_bucket""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,Self-identified gender.
urbanicity,Urbanicity,categorical,categorical,"[""Dense urban"", ""Suburban"", ""Small town"", ""Rural"", ""Nomadic / remote""]",geography,Demographic: Core,"[""country"", ""region""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,Settlement density of where they live.
socioeconomic_band,Socioeconomic band,ordinal,ordinal,"[""Low income"", ""Lower-middle"", ""Middle"", ""Upper-middle"", ""High income""]",demographics,Demographic: Core,"[""country"", ""region""]",macro_profile,census/ACS/survey,local_conditional_macro,true,Relative income/wealth band.
primary_language,Primary language,categorical,categorical,"[""English"", ""Mandarin"", ""Spanish"", ""Hindi"", ""Arabic"", ""French"", ""Portuguese"", ""Bengali"", ""Russian"", ""Japanese"", ""German"", ""Swahili""]",language_communication,Linguistic: Language,"[""country"", ""region"", ""education_level""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,First / dominant language.
english_proficiency,English proficiency,ordinal,ordered_bucket,"[""Native"", ""Fluent (C1–C2)"", ""Intermediate (B1–B2)"", ""Basic (A1–A2)"", ""None""]",language_communication,Linguistic: Language,"[""country"", ""region"", ""education_level""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,Command of English (the eval lingua franca).
multilingualism,Multilingualism,categorical,categorical,"[""Monolingual"", ""Bilingual"", ""Trilingual+""]",language_communication,Linguistic: Language,"[""country"", ""region"", ""education_level""]",macro_profile,census/ACS/IPUMS,local_conditional_macro,true,Number of working languages.
register,Dialect / register,categorical,categorical,"[""Formal / standard"", ""Colloquial"", ""Regional dialect"", ""Code-switching"", ""Technical jargon""]",demographics,Demographic: Core,"[""country"", ""region""]",macro_profile,census/ACS/survey,local_conditional_macro,true,Default speech register.
domain,Domain,categorical,categorical,"[""Software & AI"", ""Healthcare & Medicine"", ""Law & Policy"", ""Finance & Economics"", ""Education"", ""Engineering"", ""Natural Sciences"", ""Social Sciences"", ""Arts & Humanities"", ""Business & Management"", ""Agriculture"", ""Manufacturing"", ""Media & Journalism"", ""Public Sector"", ""Hospitality"", ""Skilled Trades""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Primary field of work or study.
