threshold,tick,n_boundaries,agent
40,0,2,Ash
40,5,2,Ash
40,10,2,Ash
40,0,1,Bex
40,5,1,Bex
40,10,1,Bex
40,0,1,Corrvan
40,5,1,Corrvan
40,10,1,Corrvan
40,0,1,Dross
40,5,1,Dross
40,10,1,Dross
40,15,1,Dross
40,20,1,Dross
40,25,1,Dross
40,30,1,Dross
40,35,1,Dross
40,0,1,Drusa
40,5,3,Drusa
40,10,3,Drusa
40,15,3,Drusa
40,20,3,Drusa
40,25,3,Drusa
40,30,3,Drusa
40,35,3,Drusa
40,0,1,Garrick
40,5,1,Garrick
40,10,1,Garrick
40,15,1,Garrick
40,20,1,Garrick
40,0,1,Hale
40,5,1,Hale
40,10,1,Hale
40,15,1,Hale
40,20,1,Hale
40,25,1,Hale
40,30,1,Hale
40,35,1,Hale
40,0,1,Imra
40,5,1,Imra
40,10,1,Imra
40,15,1,Imra
40,20,1,Imra
40,25,1,Imra
40,0,2,Kael
40,5,2,Kael
40,10,2,Kael
40,15,2,Kael
40,20,2,Kael
40,25,2,Kael
40,0,1,Korv
40,5,1,Korv
40,10,1,Korv
40,15,1,Korv
40,20,1,Korv
40,25,1,Korv
40,30,1,Korv
40,35,1,Korv
40,0,2,Lithen
40,5,2,Lithen
40,10,2,Lithen
40,15,2,Lithen
40,20,2,Lithen
40,0,1,Malaric
40,5,1,Malaric
40,10,1,Malaric
40,0,0,Mire
40,5,0,Mire
40,10,0,Mire
40,15,0,Mire
40,20,0,Mire
40,25,0,Mire
40,30,0,Mire
40,35,0,Mire
40,0,1,Quill
40,5,1,Quill
40,10,1,Quill
40,15,1,Quill
40,20,1,Quill
40,25,1,Quill
40,0,2,Roon
40,5,2,Roon
40,10,2,Roon
40,15,2,Roon
40,20,2,Roon
40,25,2,Roon
40,30,2,Roon
40,35,2,Roon
40,0,2,Sela
40,5,2,Sela
40,10,2,Sela
40,15,2,Sela
40,20,2,Sela
40,25,2,Sela
40,30,2,Sela
40,35,2,Sela
40,0,2,Senne
40,5,2,Senne
40,10,2,Senne
40,15,2,Senne
40,20,2,Senne
40,25,2,Senne
40,30,2,Senne
40,35,2,Senne
40,0,1,Seraveth
40,5,1,Seraveth
