threshold,n_revisions,first_revision_tick
40,0,
40,0,
40,1,11.0
40,0,
40,1,4.0
40,0,
40,0,
40,0,
40,1,27.0
40,0,
40,0,
40,1,12.0
40,0,
40,0,
40,0,
40,1,39.0
40,0,
40,0,
40,0,
40,0,
40,0,
40,0,
40,0,
40,0,
40,0,
80,0,
80,0,
80,1,29.0
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,0,
80,1,25.0
80,0,
80,0,
150,0,
150,0,
150,0,
150,1,35.0
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
150,0,
