arm,band,net_boundaries
thresh150,deeply-helpful,0
thresh150,neutral-survivor,0
thresh150,ruthless,0
thresh150,ruthless,0
thresh150,ruthless,0
thresh150,self-interested,0
thresh150,self-interested,0
thresh150,helpful-pragmatic,0
thresh150,deeply-helpful,0
thresh150,ruthless,0
thresh150,helpful-pragmatic,0
thresh150,self-interested,0
thresh150,ruthless,0
thresh150,self-interested,0
thresh150,neutral-survivor,0
thresh150,helpful-pragmatic,0
thresh150,deeply-helpful,0
thresh150,helpful-pragmatic,0
thresh150,neutral-survivor,0
thresh150,ruthless,0
thresh150,neutral-survivor,0
thresh150,neutral-survivor,0
thresh150,ruthless,0
thresh150,deeply-helpful,0
thresh150,neutral-survivor,0
thresh40,deeply-helpful,0
thresh40,neutral-survivor,0
thresh40,ruthless,0
thresh40,ruthless,0
thresh40,ruthless,2
thresh40,self-interested,0
thresh40,self-interested,0
thresh40,helpful-pragmatic,0
thresh40,deeply-helpful,0
thresh40,ruthless,0
thresh40,helpful-pragmatic,0
thresh40,self-interested,1
thresh40,ruthless,0
thresh40,self-interested,0
thresh40,neutral-survivor,0
thresh40,helpful-pragmatic,0
thresh40,deeply-helpful,0
thresh40,helpful-pragmatic,0
thresh40,neutral-survivor,0
thresh40,ruthless,0
thresh40,neutral-survivor,0
thresh40,neutral-survivor,0
thresh40,ruthless,0
thresh40,deeply-helpful,0
thresh40,neutral-survivor,0
thresh80,deeply-helpful,0
thresh80,neutral-survivor,0
thresh80,ruthless,2
thresh80,ruthless,0
thresh80,ruthless,0
thresh80,self-interested,0
thresh80,self-interested,0
thresh80,helpful-pragmatic,0
thresh80,deeply-helpful,0
thresh80,ruthless,0
thresh80,helpful-pragmatic,0
thresh80,self-interested,0
thresh80,ruthless,0
thresh80,self-interested,0
thresh80,neutral-survivor,0
thresh80,helpful-pragmatic,0
thresh80,deeply-helpful,0
thresh80,helpful-pragmatic,0
thresh80,neutral-survivor,0
thresh80,ruthless,0
thresh80,neutral-survivor,0
thresh80,neutral-survivor,0
thresh80,ruthless,0
thresh80,deeply-helpful,0
thresh80,neutral-survivor,0
