sequence	migration_status	skip_reason	source_sha	source_parent_shas	source_author_name	source_author_email	source_author_date	source_committer_name	source_committer_email	source_committer_date	source_subject	target_pr_number	target_pr_url	target_branch	target_base_branch	target_commit_sha
001	applied	NA	fb5878b2cff99e525d6f0b108656e25cda98defc	NA	matrAIx2026	info@matraix.ai	2026-06-11T21:12:36-07:00	GitHub	noreply@github.com	2026-06-11T21:12:36-07:00	Initial commit	2	https://github.com/ElegantLin/PersonaBench/pull/2	codex/matraix-main-001-fb5878b2cf	main	3266f8afe804fcbe2c38155a9e6983fc06801207
002	applied	NA	8611ec3fdfe90bc7ac2902d300d954220943dd83	fb5878b2cff99e525d6f0b108656e25cda98defc	matrAIx2026	info@matraix.ai	2026-06-11T21:18:10-07:00	GitHub	noreply@github.com	2026-06-11T21:18:10-07:00	Create Contribution.md	3	https://github.com/ElegantLin/PersonaBench/pull/3	codex/matraix-main-002-8611ec3fdf	codex/matraix-main-001-fb5878b2cf	239438aaa272c03116eeaa15c49bc9497e130bfd
003	applied	NA	dad557994f7a03e4422f6e12ee646cff098b15d2	8611ec3fdfe90bc7ac2902d300d954220943dd83	matrAIx2026	info@matraix.ai	2026-06-11T21:18:34-07:00	GitHub	noreply@github.com	2026-06-11T21:18:34-07:00	Update Contribution.md	4	https://github.com/ElegantLin/PersonaBench/pull/4	codex/matraix-main-003-dad557994f	codex/matraix-main-002-8611ec3fdf	26bc3a0f174c02ca3899746a7466c67b07476425
004	applied	NA	ffe931bf62ad468cd3ce57f8d6655b45c983e1e9	dad557994f7a03e4422f6e12ee646cff098b15d2	matrAIx2026	info@matraix.ai	2026-06-11T21:19:58-07:00	GitHub	noreply@github.com	2026-06-11T21:19:58-07:00	Update Contribution.md	5	https://github.com/ElegantLin/PersonaBench/pull/5	codex/matraix-main-004-ffe931bf62	codex/matraix-main-003-dad557994f	b7f5107bb51e7287b6a09b30b3f9238075ac45f2
005	applied	NA	f8c1808285f9995d423a46a58e2f520cf0224d52	ffe931bf62ad468cd3ce57f8d6655b45c983e1e9	matrAIx2026	info@matraix.ai	2026-06-11T21:28:04-07:00	GitHub	noreply@github.com	2026-06-11T21:28:04-07:00	Update Contribution.md	6	https://github.com/ElegantLin/PersonaBench/pull/6	codex/matraix-main-005-f8c1808285	codex/matraix-main-004-ffe931bf62	580f625273c3d22b55a4c89a7ae18d68d402c8c0
006	applied	NA	f3b6e9d321807e45b278ed82284f611046a8487d	f8c1808285f9995d423a46a58e2f520cf0224d52	matrAIx2026	info@matraix.ai	2026-06-11T21:29:33-07:00	GitHub	noreply@github.com	2026-06-11T21:29:33-07:00	Update Contribution.md	7	https://github.com/ElegantLin/PersonaBench/pull/7	codex/matraix-main-006-f3b6e9d321	codex/matraix-main-005-f8c1808285	c8c47e3b98d66b71cec12e0f8d3b7ab603d35b01
007	applied	NA	9b863b74927d3fbaeb11555756516ae2ca900c20	f3b6e9d321807e45b278ed82284f611046a8487d	matrAIx2026	info@matraix.ai	2026-06-11T21:30:36-07:00	GitHub	noreply@github.com	2026-06-11T21:30:36-07:00	Update Contribution.md	8	https://github.com/ElegantLin/PersonaBench/pull/8	codex/matraix-main-007-9b863b7492	codex/matraix-main-006-f3b6e9d321	f7e1a93e468b35c42de3910f8937d41f0448c713
008	applied	NA	9820a4e6efffe65cce617f8a8f06a81553bf65e1	9b863b74927d3fbaeb11555756516ae2ca900c20	matrAIx2026	info@matraix.ai	2026-06-11T21:32:05-07:00	GitHub	noreply@github.com	2026-06-11T21:32:05-07:00	Create Environment.md	9	https://github.com/ElegantLin/PersonaBench/pull/9	codex/matraix-main-008-9820a4e6ef	codex/matraix-main-007-9b863b7492	8e5d037faa3b13a73cc982b82592b7a0bf2c0a67
009	applied	NA	6fdb4c096855e127141a4e0b5ac2c0842b4ce1a2	9820a4e6efffe65cce617f8a8f06a81553bf65e1	zzwjames	63535406+zzwjames@users.noreply.github.com	2026-06-11T21:35:07-07:00	GitHub	noreply@github.com	2026-06-11T21:35:07-07:00	Update Environment.md	10	https://github.com/ElegantLin/PersonaBench/pull/10	codex/matraix-main-009-6fdb4c0968	codex/matraix-main-008-9820a4e6ef	9ddf104dc8c7bb96a559a4d2e9b3ce14026e77cd
010	applied	NA	08f40e992a2cbadb0942c81127b46cabedc92922	6fdb4c096855e127141a4e0b5ac2c0842b4ce1a2	matrAIx2026	info@matraix.ai	2026-06-11T21:54:25-07:00	GitHub	noreply@github.com	2026-06-11T21:54:25-07:00	Update Contribution.md	11	https://github.com/ElegantLin/PersonaBench/pull/11	codex/matraix-main-010-08f40e992a	codex/matraix-main-009-6fdb4c0968	21db178ca1340d5345a32f2e5695b948d39fd32b
