product_id,category,dimensions,populated_fields,emitted_fields,populated_rate,mean_populated_per_persona
synthetic,Behavior: Habits,30,300000000000,300000000000,1.0,30.0
synthetic,Behavior: Preferences,34,340000000000,340000000000,1.0,34.0
synthetic,Behavior: Time,3,30000000000,30000000000,1.0,3.0
synthetic,Behavior: Work,2,20000000000,20000000000,1.0,2.0
synthetic,Demographic: Core,25,250000000000,250000000000,1.0,25.0
synthetic,Demographic: Cultural,2,20000000000,20000000000,1.0,2.0
synthetic,Demographic: Family,1,10000000000,10000000000,1.0,1.0
synthetic,Demographic: Life Events,24,240000000000,240000000000,1.0,24.0
synthetic,Developer: AI Adoption,8,80000000000,80000000000,1.0,8.0
synthetic,Developer: AI Workflow Tasks,12,120000000000,120000000000,1.0,12.0
synthetic,Developer: Agent Adoption,11,110000000000,110000000000,1.0,11.0
synthetic,Developer: Code Maintenance,10,100000000000,100000000000,1.0,10.0
synthetic,Developer: Community Behavior,4,40000000000,40000000000,1.0,4.0
synthetic,Developer: Open Source Behavior,7,70000000000,70000000000,1.0,7.0
synthetic,Developer: Professional Context,6,60000000000,60000000000,1.0,6.0
synthetic,Developer: Technology Evaluation,8,80000000000,80000000000,1.0,8.0
synthetic,Expertise: Domains,144,1440000000000,1440000000000,1.0,144.0
synthetic,Expertise: Skills,64,640000000000,640000000000,1.0,64.0
synthetic,Health: Fitness,2,20000000000,20000000000,1.0,2.0
synthetic,Health: Lifestyle,2,20000000000,20000000000,1.0,2.0
synthetic,Health: Physical,25,250000000000,250000000000,1.0,25.0
synthetic,Interests: Culture,74,740000000000,740000000000,1.0,74.0
synthetic,Interests: Food,35,350000000000,350000000000,1.0,35.0
synthetic,Interests: Hobbies,50,500000000000,500000000000,1.0,50.0
synthetic,Interests: Media,81,810000000000,810000000000,1.0,81.0
synthetic,Interests: Sports,40,400000000000,400000000000,1.0,40.0
synthetic,Interests: Topics,78,780000000000,780000000000,1.0,78.0
synthetic,Learning: Academic,34,340000000000,340000000000,1.0,34.0
synthetic,Learning: Style,1,10000000000,10000000000,1.0,1.0
synthetic,Linguistic: Communication,37,370000000000,370000000000,1.0,37.0
synthetic,Linguistic: Language,53,530000000000,530000000000,1.0,53.0
synthetic,Personality: Big Five,50,500000000000,500000000000,1.0,50.0
synthetic,Personality: Character,34,340000000000,340000000000,1.0,34.0
synthetic,Personality: MBTI,2,20000000000,20000000000,1.0,2.0
synthetic,Personality: Relationships,4,40000000000,40000000000,1.0,4.0
synthetic,Professional: Career,4,40000000000,40000000000,1.0,4.0
synthetic,Professional: Industry,51,510000000000,510000000000,1.0,51.0
synthetic,Risk & Decision,7,70000000000,70000000000,1.0,7.0
synthetic,Skills: Programming,44,440000000000,440000000000,1.0,44.0
synthetic,Skills: Tools,69,690000000000,690000000000,1.0,69.0
synthetic,State: Emotional,5,50000000000,50000000000,1.0,5.0
synthetic,Values & Motivation,46,460000000000,460000000000,1.0,46.0
synthetic,Worldview: Beliefs,67,670000000000,670000000000,1.0,67.0
wiki,Behavior: Habits,30,43,149970,0.0002866666666666667,0.0086
wiki,Behavior: Preferences,34,7701,169249,0.0453,1.5402
wiki,Behavior: Time,3,112,15000,0.007466666666666667,0.0224
wiki,Behavior: Work,2,5373,10000,0.5373,1.0746
wiki,Demographic: Core,25,86310,122245,0.69048,17.262
wiki,Demographic: Cultural,2,5343,9996,0.5343,1.0686
wiki,Demographic: Family,1,1056,5000,0.2112,0.2112
wiki,Demographic: Life Events,24,99840,118412,0.832,19.968
wiki,Developer: AI Adoption,8,342,39870,0.00855,0.0684
wiki,Developer: AI Workflow Tasks,12,25080,59844,0.418,5.016
wiki,Developer: Agent Adoption,11,2146,54912,0.03901818181818182,0.4292
wiki,Developer: Code Maintenance,10,138,49840,0.00276,0.0276
wiki,Developer: Community Behavior,4,7,20000,0.00035,0.0014
wiki,Developer: Open Source Behavior,7,32005,34923,0.9144285714285715,6.401
wiki,Developer: Professional Context,6,20094,29862,0.6698,4.0188
wiki,Developer: Technology Evaluation,8,265,40000,0.006625,0.053
wiki,Expertise: Domains,144,399482,715059,0.5548361111111111,79.8964
wiki,Expertise: Skills,64,103112,317241,0.322225,20.6224
wiki,Health: Fitness,2,3409,10000,0.3409,0.6818
wiki,Health: Lifestyle,2,56,10000,0.0056,0.0112
wiki,Health: Physical,25,43255,124200,0.34604,8.651
wiki,Interests: Culture,74,131258,367872,0.35475135135135133,26.2516
wiki,Interests: Food,35,2322,174410,0.013268571428571428,0.4644
wiki,Interests: Hobbies,50,505,249200,0.00202,0.101
wiki,Interests: Media,81,10288,403224,0.02540246913580247,2.0576
wiki,Interests: Sports,40,58001,199780,0.290005,11.6002
wiki,Interests: Topics,78,41048,388318,0.10525128205128205,8.2096
wiki,Learning: Academic,34,98189,169153,0.5775823529411764,19.6378
wiki,Learning: Style,1,127,5000,0.0254,0.0254
wiki,Linguistic: Communication,37,27192,183333,0.1469837837837838,5.4384
wiki,Linguistic: Language,53,217355,263787,0.8202075471698114,43.471
wiki,Personality: Big Five,50,123995,244590,0.49598,24.799
wiki,Personality: Character,34,155320,167549,0.9136470588235294,31.064
wiki,Personality: MBTI,2,58,10000,0.0058,0.0116
wiki,Personality: Relationships,4,4429,19958,0.22145,0.8858
wiki,Professional: Career,4,13963,19924,0.69815,2.7926
wiki,Professional: Industry,51,242206,252898,0.9498274509803921,48.4412
wiki,Risk & Decision,7,7405,34956,0.21157142857142858,1.481
wiki,Skills: Programming,44,149,219296,0.0006772727272727273,0.0298
wiki,Skills: Tools,69,1801,344100,0.005220289855072464,0.3602
wiki,State: Emotional,5,18,25000,0.00072,0.0036
wiki,Values & Motivation,46,158702,226504,0.6900086956521739,31.7404
wiki,Worldview: Beliefs,67,46631,333449,0.13919701492537315,9.3262
amazon,Behavior: Habits,30,7834,3000000,0.002611333333333333,0.07834
amazon,Behavior: Preferences,34,31844,3400000,0.009365882352941177,0.31844
