"id","title","year","authors","venue","doi","arxiv_id","url","citation_count","status","relevance_score","discovered_by"
"doi:10.1145/3708319.3733685","Simulating Human Opinions with Large Language Models: Opportunities and Challenges for Personalized Survey Data Modeling","2025","Carolin Kaiser; Jakob Kaiser; Vladimir Manewitsch; Lea Rau; René Schallner","User Modeling, Adaptation, and Personalization","10.1145/3708319.3733685",,"https://doi.org/10.1145/3708319.3733685","27","included_for_initial_screen","8","language models simulate human samples silicon sampling"
"doi:10.54941/ahfe1006738","Evaluating Silicon Sampling: LLM Accuracy in Simulating Public Opinion on Facial Recognition Technology","2025","Charles Ma","AHFE International","10.54941/ahfe1006738",,"https://doi.org/10.54941/ahfe1006738","0","included_for_initial_screen","6","language models simulate human samples silicon sampling"
"doi:10.1017/pan.2024.5","Synthetic Replacements for Human Survey Data? The Perils of Large Language Models","2024","James Bisbee; J. Clinton; C. Dorff; Brenton Kenkel; Jennifer M. Larson","Political Analysis","10.1017/pan.2024.5",,"https://doi.org/10.1017/pan.2024.5","166","included_for_initial_screen","5","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2402.18144","Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information","2024","Seungjong Sun; Eungu Lee; Dongyan Nan; Xiangying Zhao; Wonbyung Lee; Bernard J. Jansen; J. Kim","arXiv.org","10.48550/arXiv.2402.18144","2402.18144","https://arxiv.org/abs/2402.18144","46","included_for_initial_screen","5","language models simulate human samples silicon sampling"
"arxiv:2402.01908","Large language models that replace human participants can harmfully misportray and flatten identity groups","2024","Angelina Wang; Jamie Morgenstern; John P. Dickerson","",,"2402.01908","https://arxiv.org/abs/2402.01908","139","candidate_low_relevance","4","LLMs replace human participants misportray flatten identity groups"
"doi:10.52202/079017-3342","The PRISM Alignment Dataset: What Participatory, Representative and Individualised Human Feedback Reveals About the Subjective and Multicultural Alignment of Large Language Models","2024","Hannah Rose Kirk; Alexander Whitefield; Paul Rottger; Andrew M. Bean; Katerina Margatina; Juan Ciro; Rafael Mosquera; Max Bartolo; Adina Williams; He He; Bertie Vidgen; Scott A. Hale","Advances in Neural Information Processing Systems 37","10.52202/079017-3342","2404.16019","https://arxiv.org/abs/2404.16019","133","candidate_low_relevance","4","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2509.13397","The threat of analytic flexibility in using large language models to simulate human data: A call to attention","2025","Jamie Cummins","arXiv.org","10.48550/arXiv.2509.13397","2509.13397","https://arxiv.org/abs/2509.13397","14","candidate_low_relevance","4","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2507.02919","ChatGPT is not A Man but Das Man: Representativeness and Structural Consistency of Silicon Samples Generated by Large Language Models","2025","Daifeng Li; Linzhuo Li; Huilian Sophie Qiu","arXiv.org","10.48550/arXiv.2507.02919","2507.02919","https://arxiv.org/abs/2507.02919","2","candidate_low_relevance","4","language models simulate human samples silicon sampling"
"arxiv:2409.02601","ChatGPT vs Social Surveys: Probing Objective and Subjective Silicon Population","2024","Muzhi Zhou; Lu Yu; Xiaomin Geng; Lan Luo","",,"2409.02601","https://arxiv.org/abs/2409.02601","1","candidate_low_relevance","4","language models simulate human samples silicon sampling"
"doi:10.1038/s42256-025-00986-z","Large language models that replace human participants can harmfully misportray and flatten identity groups","2025","Angelina Wang; Jamie Morgenstern; John Dickerson","Nature Machine Intelligence","10.1038/s42256-025-00986-z",,"https://doi.org/10.1038/s42256-025-00986-z","57","candidate_low_relevance","3","LLMs replace human participants misportray flatten identity groups"
"doi:10.1017/pan.2023.2","Out of One, Many: Using Language Models to Simulate Human Samples","2022","Lisa P. Argyle; E. Busby; Nancy Fulda; Joshua R Gubler; Christopher Rytting; David Wingate","Political Analysis","10.1017/pan.2023.2","2209.06899","https://arxiv.org/abs/2209.06899","1105","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2406.00832","BoNBoN Alignment for Large Language Models and the Sweetness of Best-of-n Sampling","2024","Lin Gui; Cristina Garbacea; Victor Veitch","Neural Information Processing Systems","10.48550/arXiv.2406.00832","2406.00832","https://arxiv.org/abs/2406.00832","126","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.1002/mar.21982","Using large language models to generate silicon samples in consumer and marketing research: Challenges, opportunities, and guidelines","2024","M. Sarstedt; Susan J. Adler; Lea Rau; Bernd H. Schmitt","Psychology &amp; Marketing","10.1002/mar.21982",,"https://doi.org/10.1002/mar.21982","99","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2403.08635","Human Alignment of Large Language Models through Online Preference Optimisation","2024","Daniele Calandriello; D. Guo; Rémi Munos; Mark Rowland; Yunhao Tang; B. '. Pires; Pierre H. Richemond; Charline Le Lan; Michal Valko; Tianqi Liu; Rishabh Joshi; Zeyu Zheng; Bilal Piot","International Conference on Machine Learning","10.48550/arXiv.2403.08635","2403.08635","https://arxiv.org/abs/2403.08635","93","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2402.10038","RS-DPO: A Hybrid Rejection Sampling and Direct Preference Optimization Method for Alignment of Large Language Models","2024","Saeed Khaki; Jinjin Li; Lan Ma; Liu Yang; Prathap Ramachandra","NAACL-HLT","10.48550/arXiv.2402.10038","2402.10038","https://arxiv.org/abs/2402.10038","48","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.1016/j.ijmedinf.2025.105800","Large language models vs human for classifying clinical documents","2025","Akram Mustafa; Usman Naseem; M. Azghadi","Int. J. Medical Informatics","10.1016/j.ijmedinf.2025.105800",,"https://doi.org/10.1016/j.ijmedinf.2025.105800","27","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2402.09836","Beyond Imitation: Generating Human Mobility from Context-aware Reasoning with Large Language Models","2024","Chenyang Shao; Fengli Xu; Bingbing Fan; Jingtao Ding; Yuan Yuan; Meng Wang; Yong Li","arXiv.org","10.48550/arXiv.2402.09836",,"https://doi.org/10.48550/arXiv.2402.09836","19","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2501.15581","Error Classification of Large Language Models on Math Word Problems: A Dynamically Adaptive Framework","2025","Yuhong Sun; Zhangyue Yin; Xuanjing Huang; Xipeng Qiu; Hui Zhao","Conference on Empirical Methods in Natural Language Processing","10.48550/arXiv.2501.15581","2501.15581","https://arxiv.org/abs/2501.15581","10","candidate_low_relevance","2","language models simulate human samples silicon sampling"
"doi:10.48550/arxiv.2406.09464","GPT-ology, Computational Models, Silicon Sampling: How should we think about LLMs in Cognitive Science?","2024","Desmond C. Ong","Annual Meeting of the Cognitive Science Society","10.48550/arXiv.2406.09464","2406.09464","https://arxiv.org/abs/2406.09464","6","candidate_low_relevance","2","language models simulate human samples silicon sampling"
